genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
CantonSMH,0-125M_24hr,fly01,0,0.5454545454545454,11,0.09090909090909083,0.09090909090909083
CantonSMH,0-125M_24hr,fly02,0,0.6381322957198443,257,0.2762645914396886,0.2762645914396886
CantonSMH,0-125M_24hr,fly03,0,0.6888888888888889,180,0.37777777777777777,0.37777777777777777
CantonSMH,0-125M_24hr,fly04,0,0.4520547945205479,438,-0.09589041095890416,0.09589041095890416
CantonSMH,0-125M_24hr,fly05,0,0.48333333333333334,420,-0.033333333333333326,0.033333333333333326
CantonSMH,0-125M_24hr,fly06,0,0.0017271157167530224,579,-0.9965457685664939,0.9965457685664939
CantonSMH,0-125M_24hr,fly07,0,0.6956521739130435,69,0.3913043478260869,0.3913043478260869
CantonSMH,0-125M_24hr,fly08,0,0.5523978685612788,1126,0.10479573712255763,0.10479573712255763
CantonSMH,0-125M_24hr,fly09,0,0.5070422535211268,852,0.014084507042253502,0.014084507042253502
CantonSMH,0-125M_24hr,fly10,0,0.5714285714285714,196,0.1428571428571428,0.1428571428571428
CantonSMH,0-125M_24hr,fly11,0,0.6557377049180327,366,0.3114754098360655,0.3114754098360655
CantonSMH,0-125M_24hr,fly12,0,0.45454545454545453,33,-0.09090909090909094,0.09090909090909094
CantonSMH,0-125M_24hr,fly13,0,0.5357142857142857,336,0.0714285714285714,0.0714285714285714
CantonSMH,0-125M_24hr,fly14,0,0.3669724770642202,327,-0.2660550458715596,0.2660550458715596
CantonSMH,0-125M_24hr,fly15,0,0.5111111111111111,180,0.022222222222222143,0.022222222222222143
CantonSMH,0-125M_24hr,fly16,0,0.5363128491620112,358,0.07262569832402233,0.07262569832402233
CantonSMH,0-125M_24hr,fly17,0,0.48639455782312924,294,-0.027210884353741527,0.027210884353741527
CantonSMH,0-125M_24hr,fly18,0,0.5,10,0.0,0.0
CantonSMH,0-125M_24hr,fly19,0,0.4666666666666667,60,-0.06666666666666665,0.06666666666666665
CantonSMH,0-125M_24hr,fly20,0,0.551219512195122,205,0.102439024390244,0.102439024390244
CantonSMH,0-125M_24hr,fly21,0,0.4034090909090909,176,-0.19318181818181823,0.19318181818181823
CantonSMH,0-125M_24hr,fly22,0,0.3968253968253968,189,-0.2063492063492064,0.2063492063492064
CantonSMH,0-125M_24hr,fly23,0,0.4863013698630137,146,-0.0273972602739726,0.0273972602739726
CantonSMH,0-125M_24hr,fly24,0,0.375,40,-0.25,0.25
CantonSMH,0-125M_24hr,fly26,0,0.42948717948717946,156,-0.14102564102564108,0.14102564102564108
CantonSMH,0-125M_24hr,fly27,0,0.4398034398034398,407,-0.12039312039312045,0.12039312039312045
CantonSMH,0-125M_24hr,fly28,0,0.5681818181818182,44,0.13636363636363646,0.13636363636363646
SS90_x_Kir,0-125M_24hr,fly01,0,0.002849002849002849,351,-0.9943019943019943,0.9943019943019943
SS90_x_Kir,0-125M_24hr,fly02,0,0.5365853658536586,123,0.07317073170731714,0.07317073170731714
SS90_x_Kir,0-125M_24hr,fly03,0,0.4941860465116279,172,-0.011627906976744207,0.011627906976744207
SS90_x_Kir,0-125M_24hr,fly04,0,0.536144578313253,166,0.07228915662650603,0.07228915662650603
SS90_x_Kir,0-125M_24hr,fly05,0,0.5664739884393064,173,0.13294797687861282,0.13294797687861282
SS90_x_Kir,0-125M_24hr,fly06,0,0.37209302325581395,43,-0.2558139534883721,0.2558139534883721
SS90_x_Kir,0-125M_24hr,fly07,0,0.49236641221374045,262,-0.01526717557251911,0.01526717557251911
